LP,Address,Description,TLAND balance,TLAND staked,Advisors Vesting,Private Vesting,Subme Vesting,STT Vesting,TLAND SUM,LP SUM (balance + staked),TLAND TOTAL,,LP MULTIPLIER
1,terra10054v45pshdxtjdtumtrsrrrg2me42andv9nu0,,0,0,0,0,0,1369480,1369480,0,1369480,,"4,232642433"
2,terra1005le4argrgh0nnx7ewz3xwq38rjc2368rsf5r,,3725164,0,0,0,0,0,3725164,0,3725164,,
3,terra100d87dhfca4x023yphu0qfslwnn0vmhgxqpdy3,,0,6419526186,0,0,0,0,6419526186,294645680,7666655994,,
5,terra100npfzsvpcpy55z83t0w9kzsg09uxrydru8nd3,,0,0,0,0,0,1278311926,1278311926,0,1278311926,,
6,terra100pmvhuzgxjgvgal0raxfxn4nfz405rrpgnw5y,,0,0,0,0,0,1071,1071,0,1071,,
7,terra100tv30cgut095sgkutahquk7z7wxn3jpdcztka,,0,396154638,0,0,0,0,396154638,0,396154638,,
8,terra100ud8vyv22q5h66267vahv3p3jf37ck99tjtun,,29233578,0,0,0,0,0,29233578,0,29233578,,
9,terra1024d90q84wax4k6l5wvya5shzn49fnnxa64c95,,2592176957,5946946190,0,0,0,1350,8539124497,0,8539124497,,
10,terra1024u9zph7mrn8f6waj4u0cn5868qpvr4hpgdrr,,0,0,0,0,0,0,0,0,0,,
11,terra102599e8lpk8652eklhqmkynr9pt9vz5c6spkr8,,204901263,0,0,0,0,0,204901263,0,204901263,,
12,terra1026hc5zj3jrsxhzc206gek6cthpgcre6z0enn5,,17750,0,0,0,0,0,17750,0,17750,,
13,terra102fl2vzzw74zcwe03ykq6pn2yx5ft5e67wuv6z,,8044330,0,0,0,0,0,8044330,0,8044330,,
14,terra102hx056kcfdxp5rtwwk7u2ku0lkvrdyvv3msyh,,0,0,0,0,0,0,0,0,0,,
15,terra102ly9mfvdayyh4c3m54tkrcm4qzzwy6lcefsph,,0,0,0,0,0,0,0,0,0,,
16,terra102qk86ns5qlya9vxnq9y49yuqex0hz0yfrj54c,,4651384,0,0,0,0,0,4651384,0,4651384,,
17,terra102tfy52jwy5cv3ttqww2rr35huat62g9fy3x4y,,415522070,0,0,0,1106996800,0,1522518870,9182006266,40386668212,,
18,terra102vqktp9p0dm4g0pq2e3lgxr46tqcs9nj6wzwp,,1221005761,721334430,0,0,0,0,1942340191,5196178990,23935907874,,
19,terra102xrq94nyp8yh2u23c54lvdx82z6dqyedrfduf,,0,0,0,0,0,7039,7039,0,7039,,
20,terra102y2mp74pfsg4el0etfntz3rp2qzhylwd7976h,,0,0,0,0,0,0,0,0,0,,
21,terra10323w7lzvtrljn0f05d5pzh4zl6q50aedvx6cp,,245511311,0,0,0,0,0,245511311,0,245511311,,
22,terra10343dlsf3hzy7jzfe7etha9tltr53cly6vrskl,,0,0,0,0,0,0,0,0,0,,
23,terra103839f0jpjdhxn7ldeh8dyty7vxt9l6lxs5j4t,,0,0,0,6407,0,0,6407,0,6407,,
24,terra103985t7haeeppgeas5lh8ys0zg7dguuqhrxwch,,0,0,0,0,0,0,0,0,0,,
25,terra1039rmnnjk5m44xm42q3wxl2d6ags5y3e5cd4tg,,0,0,0,0,0,3068,3068,0,3068,,
26,terra103aq4qp99y4vea6e73ll23ykuten4ksgz34k5n,,9023002,0,0,0,0,0,9023002,0,9023002,,
27,terra103c2juwghawc5yyefg4tlf2xlu9mqklp624mkj,,356171434,0,0,0,0,0,356171434,0,356171434,,
28,terra103cq3acjw0u0dxmwztnpel6fap2e92phd9tsp3,,180370416,0,0,0,0,0,180370416,0,180370416,,
29,terra103pk7z8p4sx64l4f63p87wvkq5sc9xzlup5558,,0,1950,0,0,0,0,1950,0,1950,,
30,terra103qss8c0vel5qw9zynmjvrr6d62j44w492ez74,,0,0,0,0,0,0,0,0,0,,
31,terra103vut6832lm7frwyuf8g0he20mv5v5r39t2glc,,0,9279978,0,0,0,0,9279978,0,9279978,,
32,terra103wex9mvl4z66j82mggcsgqmp0zzgfvdw4yhjr,,0,0,0,0,0,0,0,0,0,,
33,terra10408tl49eq7upcx4cy2aql2g3k6eemdhnsha5m,,0,0,0,0,0,0,0,0,0,,
34,terra1044h572askmmmv4v4ljkw802lqhet3c5xtm7e5,,0,10085122027,0,0,0,0,10085122027,24340,10085225050,,
35,terra104705qnurtmqedsvhh6h0vktjq9eesqgsh9r84,,10,0,0,0,0,0,10,0,10,,
36,terra104lj35vs5p9ygzmar8r3fes9r0dzaqr3xnkaw6,,0,0,0,0,0,0,0,0,0,,
37,terra104m0h2shkxwa7e42s4eccysw82zf57a25k68h0,,0,365873860,0,0,0,0,365873860,1000781775,4601825267,,
38,terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv,,0,0,0,0,0,0,0,499090526,2112471738,,
39,terra104qrqgvedudnskn7h2fmz78cx2j6u3zew7jzdg,,0,0,0,0,0,25698590,25698590,0,25698590,,
40,terra1052au6cmuq0raedls4nac43vwac8w42wrhasp5,,0,0,0,4796680000,0,0,4796680000,643356470,7519777894,,
41,terra105366vajqnfpx0e9a8573ehus9daw7yr7kn5qq,,0,0,0,0,0,0,0,0,0,,
42,terra105723g664j6lmnhtlcatuggq79wv7rajmzpdaw,,2103299035,0,0,0,0,0,2103299035,0,2103299035,,
43,terra105878rnm20fzm6q80tgkncxtcs5zpxdskj5985,,20,0,0,0,0,0,20,0,20,,
44,terra1059wmnl742gysnkl8rn3nfan7ln0e933qxcv4x,,48149527,0,0,0,0,0,48149527,4781250,68386849,,
45,terra105dh3cn0ga7297alnuqtp67yymqw26nxesnapy,,0,0,0,0,0,1681750,1681750,0,1681750,,
46,terra105jq8c946et7wss2qkscaagg96pf78zux8e8la,,0,0,0,0,0,917132518,917132518,0,917132518,,
47,terra105lw9q5c82d3zd08v9uqeda9r9ptpzpp8mrnlg,,0,38542452,0,0,0,0,38542452,13213340,94469796,,
48,terra105mndeaenfu8e6exmarvw3q07leq2fuplclv8v,,200328988631,0,0,0,0,0,200328988631,0,200328988631,,
49,terra105nqhzxxg4mwfk765fwrw3lssw2chdn6xdzdlx,,0,995100618,0,0,0,"2430,000001",995103048,0,995103048,,
50,terra105u4s4dwgczgfseeurrcgfzr8g7x4h02juerjs,,0,0,0,0,0,2910,2910,0,2910,,
51,terra105xzkrjpazqj5x6aqh68qzfknh4mvvejdw2t8p,,0,0,0,0,0,0,0,2779562,11764892,,
52,terra10608z0q88j6k0xxwew7hh5eg8hla0hxch3cf6x,,0,0,0,0,0,0,0,0,0,,
53,terra106gp9j3067qn0r8luzdnq50c04qkuj9atwu57p,,66910,0,0,0,0,0,66910,0,66910,,
54,terra106lgxjvzhe6ch24xhkwjyketf3fryw582jd4t6,,860,0,0,0,0,0,860,0,860,,
55,terra106tu3ath9r8rrfkyj45rrlhpq2tcz9gm3me2a0,,2405840171,1824326799,0,0,0,271652958,4501819928,0,4501819928,,
56,terra106vvdwsuu4adtam7kutzegqks2g8qz3uuwypky,,0,0,0,0,0,0,0,60409408,255691424,,
57,terra106zjups7kk5zmcf3tkwdkpc9ydzks0vsk96znm,,0,0,0,0,0,0,0,0,0,,
58,terra106zpm70p68aeuzll7n7zz5er4qu90s97nj0xvu,,148201890,0,0,0,0,0,148201890,0,148201890,,
59,terra1070sh5j4tzz3gupfet4mm5vdjpkyfgwn4g3638,,0,0,0,0,0,0,0,0,0,,
60,terra1070suq8hh0ljxz3neacwgww3h3t2gjycxgzmq4,,9194940000,0,0,26118960000,0,0,35313900000,0,35313900000,,
61,terra1072q7txl66nc5zfyexe0wk3m6w05jy88arnra4,,0,0,0,0,0,0,0,0,0,,
62,terra1074hkgzt3e5c8e464nmlk49q2g5jy6086d0zhh,,0,0,0,0,0,"6130,000001",6130,0,6130,,
63,terra1077tw0k9t6f7l9973sgjr273hfjhms8nznzkg3,,0,0,0,15555400000,0,0,15555400000,0,15555400000,,
64,terra1077vj52an8c3cjr4lv348k9hthjeksehp70pt7,,0,3400110805,0,0,0,131840,3400242645,0,3400242645,,
65,terra10797xl48yrwenpmjuetk9hsu6946etzzlfyapj,,6495895,0,0,0,0,0,6495895,0,6495895,,
66,terra107982u9v0dsmgwmkvat8r5u9gahuj9neav3q8k,,0,1103046934,0,0,0,0,1103046934,0,1103046934,,
67,terra107c0hunpms5mpnyf8cjja5q9jemwr42fvn880y,,0,0,0,0,0,0,0,0,0,,
68,terra107ce4sgjxcg5csgy0q8npv9pytsk93502hg8g4,,0,0,0,0,0,0,0,0,0,,
69,terra107fzu22nrr92auedushpnesg398l44u8lnh9xm,,202403772,0,0,0,0,0,202403772,0,202403772,,
70,terra107nv9ctle4tdtejz62qeyqw8dzhthh3mxepkjy,,0,0,0,0,0,0,0,0,0,,
71,terra107sjh77fwzsvch4ra9c7fhlgrvgsz5hvnpqwvs,,0,0,0,0,0,1635320800,1635320800,0,1635320800,,
72,terra1087r8d244pl4aqd8tqgt68y0acx2jqm824a4ns,,0,0,0,0,0,9035,9035,0,9035,,
